movie,original_language,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,genres,release_month,ROI
cursed,en,0.63,7.0,1,2005-02-25,35000000,25114901,multiple_genres,2,-9885099
cyrus,en,7.735,6.0,201,2010-06-18,7000000,10062896,multiple_genres,6,3062896
da sweet blood of jesus,en,2.607,4.6,33,2015-01-13,1250000,0,multiple_genres,1,-1250000
dallas buyers club,en,12.389,7.9,4961,2013-11-01,5000000,60611845,multiple_genres,11,55611845
damsels in distress,en,6.625,5.5,103,2012-04-06,3000000,1324299,multiple_genres,4,-1675701
dangal,hi,10.022,8.1,358,2016-12-21,9500000,294654618,multiple_genres,12,285154618
dangerous liaisons,zh,3.035,6.2,22,1988-12-21,14000000,34700000,multiple_genres,12,20700000
danny collins,en,8.933,6.7,260,2015-03-20,10000000,8465845,multiple_genres,3,-1534155
dark shadows,en,15.75,5.9,4197,2012-05-11,150000000,238202668,multiple_genres,5,88202668
dark skies,en,11.582,6.1,1004,2013-02-22,3500000,27704111,multiple_genres,2,24204111
darkest hour,en,15.331,7.3,2715,2017-11-22,30000000,150807172,multiple_genres,11,120807172
darling companion,en,4.656,5.0,46,2012-04-20,12000000,1200346,multiple_genres,4,-10799654
date night,en,12.498,6.0,1743,2010-04-09,55000000,152269033,multiple_genres,4,97269033
dawn of the crescent moon,en,1.4,2.0,1,2015-07-17,75000,8799,multiple_genres,7,-66201
dawn of the planet of the apes,en,27.641,7.3,7080,2014-07-11,170000000,710644566,multiple_genres,7,540644566
dawn patrol,en,1.772,5.1,15,2015-06-05,3500000,0,multiple_genres,6,-3500000
daylight,en,1.4,4.2,3,1996-12-06,80000000,158908290,multiple_genres,12,78908290
dead man down,en,10.349,6.0,866,2013-03-08,30000000,19599974,multiple_genres,3,-10400026
deadfall,en,9.491,5.9,357,2012-12-07,6000000,1673635,multiple_genres,12,-4326365
deadline,en,1.4,5.5,4,2009-12-31,1800000,0,multiple_genres,12,-1800000
deadpool,en,35.067,7.6,20175,2016-02-12,58000000,801025593,multiple_genres,2,743025593
deadpool 2,en,38.894,7.5,8773,2018-05-18,110000000,786680557,multiple_genres,5,676680557
dear john,en,12.048,6.8,2676,2010-02-05,25000000,142033509,multiple_genres,2,117033509
dear white people,en,7.455,6.1,296,2014-10-17,1250000,5403771,multiple_genres,10,4153771
death at a funeral,en,6.862,5.7,439,2010-04-16,21000000,48977233,comedy,4,27977233
death wish,en,18.014,5.9,1207,2018-03-02,30000000,48575965,multiple_genres,3,18575965
deceptive practice: the mysteries and mentors of ricky jay,en,1.076,7.1,18,2013-04-17,500000,152449,documentary,4,-347551
deepwater horizon,en,13.685,6.7,2606,2016-09-30,156000000,122603824,multiple_genres,9,-33396176
deliver us from evil,en,11.283,6.1,1104,2014-07-02,30000000,87956618,multiple_genres,7,57956618
delivery man,en,7.962,6.2,858,2013-11-22,22000000,70536870,multiple_genres,11,48536870
demonic,en,6.84,5.1,267,2017-10-10,3000000,4668109,multiple_genres,10,1668109
den of thieves,en,22.738,6.6,1244,2018-01-19,30000000,80131391,multiple_genres,1,50131391
denial,en,9.267,6.7,349,2016-09-30,10000000,9263940,multiple_genres,9,-736060
departure,en,0.885,10.0,1,2017-03-07,1100000,27561,multiple_genres,3,-1072439
derailed,en,7.814,6.2,500,2005-11-11,22000000,57520063,multiple_genres,11,35520063
desert dancer,en,1.508,6.9,33,2015-04-10,4000000,596335,multiple_genres,4,-3403665
despicable me,en,23.673,7.2,10057,2010-07-09,69000000,543464573,multiple_genres,7,474464573
despicable me 2,en,19.014,6.9,7319,2013-07-03,76000000,975216835,multiple_genres,7,899216835
despicable me 3,en,16.407,6.3,4106,2017-06-30,75000000,1034727750,multiple_genres,6,959727750
destroyer,en,17.815,5.9,176,2018-12-25,9000000,3681096,multiple_genres,12,-5318904
detention,en,6.136,5.6,206,2012-04-13,10000000,0,multiple_genres,4,-10000000
detention of the dead,en,4.268,5.0,50,2013-06-28,500000,1778,multiple_genres,6,-498222
devil,en,10.203,5.9,1516,2010-09-17,10000000,63354114,drama,9,53354114
devil's due,en,5.893,4.5,303,2014-01-17,7000000,36146087,multiple_genres,1,29146087
dhoom 3,hi,6.798,5.9,136,2013-12-20,24000000,11723620,multiple_genres,12,-12276380
diamond ruff,en,0.776,2.4,4,2014-12-31,500000,0,action,12,-500000
diane,en,3.521,7.5,4,1956-01-12,2660000,0,drama,1,-2660000
diary of a wimpy kid,en,12.256,6.0,736,2010-03-19,15000000,76954311,multiple_genres,3,61954311
diary of a wimpy kid: dog days,en,11.36,6.2,440,2012-08-03,22000000,77229695,multiple_genres,8,55229695
diary of a wimpy kid: rodrick rules,en,8.961,6.4,492,2011-03-25,18000000,73695194,multiple_genres,3,55695194
diary of a wimpy kid: the long haul,en,10.839,5.6,193,2017-05-19,22000000,35609577,multiple_genres,5,13609577
dinner for schmucks,en,6.632,5.6,920,2010-07-30,69000000,86796502,comedy,7,17796502
dirty grandpa,en,11.432,5.8,2667,2016-01-22,11500000,105078449,comedy,1,93578449
divergent,en,16.982,6.9,8279,2014-03-21,85000000,276014965,multiple_genres,3,191014965
django unchained,en,21.26,8.0,15725,2012-12-25,100000000,449948323,multiple_genres,12,349948323
do you believe?,en,5.599,7.0,72,2015-03-20,2300000,14304931,drama,3,12004931
doc holliday's revenge,en,0.84,3.2,3,2014-12-31,1000000,0,western,12,-1000000
doctor strange,en,33.035,7.3,12582,2016-11-04,165000000,676404566,multiple_genres,11,511404566
dolphin tale,en,10.679,6.8,327,2011-09-23,37000000,96068724,multiple_genres,9,59068724
dolphin tale 2,en,7.403,6.7,173,2014-09-12,36000000,57824533,multiple_genres,9,21824533
dom hemingway,en,7.254,5.8,302,2014-04-02,7000000,1857458,multiple_genres,4,-5142542
don jon,en,12.78,5.9,2709,2013-09-27,5500000,41268579,multiple_genres,9,35768579
don't be afraid of the dark,en,8.405,5.5,550,2011-08-26,25000000,39126427,multiple_genres,8,14126427
dope,en,9.246,7.2,954,2015-06-19,7000000,18190831,multiple_genres,6,11190831
down and dangerous,en,2.621,4.3,9,2014-02-14,50000,0,multiple_genres,2,-50000
downsizing,en,10.682,5.1,1887,2017-12-22,68000000,54462971,multiple_genres,12,-13537029
dracula untold,en,29.043,6.2,3719,2014-10-10,70000000,220241723,multiple_genres,10,150241723
draft day,en,10.581,6.6,460,2014-04-11,25000000,29847480,multiple_genres,4,4847480
dragon ball super: broly,ja,6.868,7.4,721,2019-01-16,8500000,122747755,multiple_genres,1,114247755
dragonfly,en,0.664,3.0,2,2002-02-22,60000000,30063805,multiple_genres,2,-29936195
dragonslayer,en,1.155,4.5,2,1981-06-26,18000000,6000000,documentary,6,-12000000
dream house,en,9.047,6.0,670,2011-09-30,50000000,41642166,multiple_genres,9,-8357834
dreamcatcher,en,1.4,5.2,5,2003-03-21,68000000,75685268,multiple_genres,3,7685268
dredd,en,13.223,6.7,2788,2012-09-21,45000000,41467606,multiple_genres,9,-3532394
drinking buddies,en,8.997,6.0,528,2013-08-23,500000,407100,multiple_genres,8,-92900
drive,en,15.875,7.5,6737,2011-09-16,15000000,81357930,documentary,9,66357930
drive angry,en,14.096,5.3,959,2011-02-25,50000000,41042583,multiple_genres,2,-8957417
drive hard,en,6.957,4.0,94,2014-10-03,12000000,0,multiple_genres,10,-12000000
driving miss daisy,en,0.6,6.7,5,1989-12-13,7500000,106593296,multiple_genres,12,99093296
drones,en,2.873,4.9,18,2010-12-31,500000,0,comedy,12,-500000
drunk wedding,en,1.4,3.9,15,2015-05-22,600000,3301,comedy,5,-596699
dry spell,en,0.6,6.0,1,2014-12-31,22000,0,multiple_genres,12,-22000
due date,en,12.445,6.3,2973,2010-11-05,65000000,211739043,multiple_genres,11,146739043
dum maaro dum,hi,1.491,5.4,16,2011-04-22,5200000,11633427,multiple_genres,4,6433427
dumb and dumber to,en,15.964,5.5,1842,2014-11-14,40000000,156553592,multiple_genres,11,116553592
dunkirk,en,24.358,7.4,9156,2017-07-21,150000000,499837368,multiple_genres,7,349837368
dwegons and leprechauns,en,0.956,0.8,2,2014-08-29,20000000,0,animation,8,-20000000
dying of the light,en,9.064,4.6,174,2014-12-05,5000000,74639,multiple_genres,12,-4925361
dylan dog: dead of night,en,7.508,4.4,243,2011-04-29,20000000,6093725,multiple_genres,4,-13906275
dysfunctional friends,en,1.392,5.3,6,2012-02-03,1800000,0,multiple_genres,2,-1800000
early man,en,16.675,5.9,338,2018-02-16,50000000,45285890,multiple_genres,2,-4714110
earth to echo,en,7.189,5.7,377,2014-07-02,13000000,42174545,multiple_genres,7,29174545
easy a,en,14.69,6.8,4168,2010-09-17,8000000,76200721,multiple_genres,9,68200721
eat pray love,en,9.991,6.0,1208,2010-08-13,60000000,206598789,multiple_genres,8,146598789
echo dr.,en,0.907,4.5,2,2014-06-10,100000,0,multiple_genres,6,-100000
eddie the eagle,en,11.483,7.2,1190,2016-02-26,23000000,45060480,multiple_genres,2,22060480
eddie: the sleepwalking cannibal,en,2.586,6.2,33,2013-04-05,1400000,1632,multiple_genres,4,-1398368
eden,en,6.877,6.8,100,2016-01-19,2300000,0,drama,1,-2300000
edge of darkness,en,11.252,6.3,794,2010-01-29,60000000,82812456,multiple_genres,1,22812456
edge of tomorrow,en,19.753,7.6,8047,2014-06-06,178000000,370541256,multiple_genres,6,192541256
eighth grade,en,14.777,7.4,519,2018-07-13,2000000,14341016,multiple_genres,7,12341016
el chicano,en,5.274,9.0,1,2019-05-03,8000000,700261,drama,5,-7299739
elektra,en,0.6,8.0,1,2005-01-14,65000000,56824633,multiple_genres,1,-8175367
elsa & fred,en,6.241,6.2,48,2014-11-07,10000000,197901,multiple_genres,11,-9802099
elysium,en,17.663,6.4,5406,2013-08-09,120000000,286192091,drama,8,166192091
emily,en,0.6,7.0,1,2017-01-27,27000,3547,drama,1,-23453
emma,en,0.6,6.0,2,1996-08-02,5900000,37831658,drama,8,31931658
end of watch,en,13.152,7.3,1770,2012-09-21,15000000,57586606,multiple_genres,9,42586606
ender's game,en,15.533,6.6,3558,2013-11-01,110000000,127983283,multiple_genres,11,17983283
endless love,en,8.776,6.8,990,2014-02-14,20000000,34718173,multiple_genres,2,14718173
enough,en,0.719,8.7,3,2002-05-24,38000000,50970660,multiple_genres,5,12970660
enough said,en,8.722,6.7,464,2013-09-18,8000000,25621449,multiple_genres,9,17621449
enter nowhere,en,6.899,6.7,83,2012-04-03,500000,0,multiple_genres,4,-500000
enter the dangerous mind,en,2.645,4.8,14,2015-02-06,3000000,0,thriller,2,-3000000
entourage,en,13.802,6.2,647,2015-06-03,30000000,46438538,comedy,6,16438538
epic,en,13.995,6.4,1670,2013-05-24,100000000,262794441,multiple_genres,5,162794441
escape from planet earth,en,9.227,5.8,459,2013-02-15,40000000,74156610,multiple_genres,2,34156610
escape from tomorrow,en,5.743,4.8,117,2013-10-11,650000,171962,multiple_genres,10,-478038
escape plan,en,17.88,6.7,2799,2013-10-18,70000000,103735965,multiple_genres,10,33735965
escobar: paradise lost,en,15.924,6.3,476,2015-06-26,17000000,3917679,multiple_genres,6,-13082321
everest,en,19.9,6.7,2874,2015-09-18,65000000,221297061,multiple_genres,9,156297061
everybody's fine,zh,0.633,6.0,1,2009-12-04,20000000,9208876,drama,12,-10791124
everything must go,en,7.493,6.0,301,2011-05-13,5000000,2821010,multiple_genres,5,-2178990
"everything, everything",en,13.998,7.2,2447,2017-05-19,10000000,61603136,multiple_genres,5,51603136
evil dead,en,13.089,6.4,2664,2013-04-05,17000000,97778356,multiple_genres,4,80778356
evolution,fr,4.208,6.3,73,2001-06-08,80000000,98341932,multiple_genres,6,18341932
ex machina,en,18.485,7.6,8026,2015-04-10,13000000,38358392,multiple_genres,4,25358392
exeter,en,5.934,4.7,121,2015-09-01,25000,489792,multiple_genres,9,464792
exodus: gods and kings,en,26.789,5.7,2909,2014-12-12,140000000,268314513,multiple_genres,12,128314513
extraordinary measures,en,6.3,6.3,153,2010-01-22,31000000,15826984,drama,1,-15173016
eye in the sky,en,10.219,7.1,850,2016-03-11,13000000,35402802,multiple_genres,3,22402802
fahrenheit 11/9,en,10.003,7.1,142,2018-09-21,5000000,6653715,documentary,9,1653715
fair game,en,11.624,6.6,384,1995-11-03,50000000,26097497,multiple_genres,11,-23902503
faith connections,hi,0.6,4.2,3,2014-09-12,550000,9111,multiple_genres,9,-540889
falcon rising,en,10.059,5.8,126,2014-09-04,4500000,11774,multiple_genres,9,-4488226
fantastic beasts and where to find them,en,28.563,7.4,12152,2016-11-18,180000000,802402853,multiple_genres,11,622402853
fantastic beasts: the crimes of grindelwald,en,48.508,6.9,4870,2018-11-16,200000000,652220086,multiple_genres,11,452220086
fantastic four,en,16.36,4.4,3837,2005-07-08,87500000,333132750,multiple_genres,7,245632750
fast five,en,2.097,7.2,4294,2011-04-29,125000000,630163454,multiple_genres,4,505163454
faster,en,14.172,6.2,895,2010-11-24,24000000,35792945,multiple_genres,11,11792945
"fat, sick & nearly dead",en,3.356,7.2,69,2011-04-01,2600000,0,documentary,4,-2600000
father figures,en,12.45,5.8,277,2017-12-22,25000000,21038441,multiple_genres,12,-3961559
father's day,en,3.186,5.9,37,1997-05-09,85000000,35681080,drama,5,-49318920
fear clinic,en,5.861,4.2,63,2015-02-10,1000000,0,horror,2,-1000000
feast,en,7.51,8.0,578,2006-09-22,3200000,690872,horror,9,-2509128
fences,en,12.753,6.8,1465,2016-12-16,24000000,64282881,multiple_genres,12,40282881
ferdinand,en,19.479,7.1,1425,2017-12-15,111000000,289847930,multiple_genres,12,178847930
fifty shades darker,en,12.083,6.1,4489,2017-02-10,55000000,381398492,multiple_genres,2,326398492
fifty shades freed,en,22.512,6.1,3535,2018-02-09,55000000,371350619,multiple_genres,2,316350619
fifty shades of black,en,8.784,4.4,677,2016-01-29,5000000,22113075,comedy,1,17113075
fifty shades of grey,en,21.229,5.4,6451,2015-02-13,40000000,570998101,multiple_genres,2,530998101
fight to the finish,en,0.6,5.2,3,2015-12-31,500000,0,multiple_genres,12,-500000
fight valley,en,2.199,3.5,14,2016-07-22,20000000,0,multiple_genres,7,-20000000
filly brown,en,1.31,6.5,10,2013-04-19,1250000,2940411,multiple_genres,4,1690411
final destination 5,en,13.392,6.0,1701,2011-08-12,40000000,155011165,horror,8,115011165
finding dory,en,15.393,7.0,7845,2016-06-17,200000000,1021215193,multiple_genres,6,821215193
first man,en,22.958,7.1,2304,2018-10-12,60000000,105203825,documentary,10,45203825
first reformed,en,12.943,6.9,446,2018-05-18,3500000,3874772,multiple_genres,5,374772
fist fight,en,9.808,6.0,708,2017-02-17,25000000,40286416,comedy,2,15286416
flatliners,en,9.844,5.7,1249,1990-08-10,26000000,61308153,multiple_genres,8,35308153
flight,en,11.692,6.7,3582,2012-11-02,31000000,160558438,multiple_genres,11,129558438
flipped,en,9.781,7.4,859,2010-08-06,14000000,4289993,multiple_genres,8,-9710007
florence foster jenkins,en,8.453,6.7,849,2016-08-12,29000000,56000339,multiple_genres,8,27000339
focus,en,10.704,6.8,4173,2015-02-27,65000000,168065700,multiple_genres,2,103065700
foodfight!,en,4.705,2.1,46,2012-12-31,45000000,73706,multiple_genres,12,-44926294
footloose,en,10.269,6.6,929,2011-10-14,24000000,62989834,multiple_genres,10,38989834
for colored girls,en,2.858,6.8,33,2010-11-05,21000000,38017873,drama,11,17017873
for greater glory: the true story of cristiada,en,4.519,6.6,63,2012-06-01,12000000,10026255,multiple_genres,6,-1973745
foreign letters,en,0.6,5.3,3,2012-03-31,40000,0,multiple_genres,3,-40000
forever my girl,en,15.953,7.4,406,2018-01-19,3500000,16376066,multiple_genres,1,12876066
forsaken,en,1.262,3.7,15,2016-02-19,18000000,0,drama,2,-18000000
fort mccoy,en,0.669,6.3,2,2014-08-15,3000000,78948,multiple_genres,8,-2921052
fortress,en,4.738,5.4,21,1993-09-03,12000000,46730578,multiple_genres,9,34730578
four lions,en,9.968,7.0,621,2010-11-05,3750000,2436111,multiple_genres,11,-1313889
frances ha,en,9.42,7.4,624,2013-05-17,3000000,11262769,multiple_genres,5,8262769
frankenstein,en,3.989,5.8,51,1994-11-04,45000000,112006296,multiple_genres,11,67006296
frankenweenie,en,14.627,6.8,1685,2012-10-05,39000000,81150788,multiple_genres,10,42150788
freakonomics,en,5.705,6.6,57,2010-10-01,2900000,172867,documentary,10,-2727133
freaks of nature,en,9.31,5.8,231,2015-10-30,33000000,70958,multiple_genres,10,-32929042
freaky deaky,en,4.476,5.1,28,2011-12-31,6000000,0,multiple_genres,12,-6000000
free birds,en,11.062,5.8,410,2013-11-01,55000000,110387072,multiple_genres,11,55387072
free fire,en,12.116,6.3,540,2017-04-21,10000000,3793739,multiple_genres,4,-6206261
free state of jones,en,8.574,6.6,787,2016-06-24,50000000,23237252,multiple_genres,6,-26762748
freeheld,en,7.313,7.3,360,2015-10-02,7000000,1732228,multiple_genres,10,-5267772
frenzy,en,2.962,3.9,9,1972-06-21,3500000,12600000,thriller,6,9100000
frequency,en,8.833,7.1,791,2000-04-28,31000000,68079671,multiple_genres,4,37079671
friend request,en,9.149,5.5,777,2017-09-22,9900000,11310835,horror,9,1410835
friends with benefits,en,14.019,6.6,4637,2011-07-22,35000000,146595891,multiple_genres,7,111595891
fright night,en,12.078,6.0,1024,2011-08-19,30000000,40520649,multiple_genres,8,10520649
from paris with love,en,12.862,6.2,1075,2010-02-05,52000000,53139168,multiple_genres,2,1139168
frontera,en,9.723,6.3,80,2014-09-05,2300000,59696,multiple_genres,9,-2240304
frozen,en,9.678,5.8,987,2013-11-22,150000000,1272469910,multiple_genres,11,1122469910
fruitvale station,en,9.587,7.4,645,2013-07-12,900000,17549645,multiple_genres,7,16649645
fun size,en,7.072,5.5,249,2012-10-26,14000000,11166615,multiple_genres,10,-2833385
furious 7,en,20.396,7.3,6538,2015-04-03,190000000,1518722794,multiple_genres,4,1328722794
furry vengeance,en,9.45,4.6,283,2010-04-30,35000000,39340177,multiple_genres,4,4340177
fury,en,29.117,7.4,6653,2014-10-17,80000000,210315681,multiple_genres,10,130315681
g.i. joe: retaliation,en,15.065,5.5,3883,2013-03-27,140000000,375740705,multiple_genres,3,235740705
game night,en,19.459,6.9,2756,2018-02-23,37000000,117378084,multiple_genres,2,80378084
gangster squad,en,13.029,6.3,2527,2013-01-11,60000000,104100903,multiple_genres,1,44100903
genius,en,9.417,6.5,391,2016-06-10,17000000,7265283,multiple_genres,6,-9734717
geostorm,en,13.653,5.8,2246,2017-10-20,100000000,220796009,multiple_genres,10,120796009
get hard,en,12.129,6.0,1469,2015-03-27,40000000,106511453,multiple_genres,3,66511453
get him to the greek,en,8.485,5.9,980,2010-06-04,40000000,91455875,multiple_genres,6,51455875
get on up,en,6.288,6.7,251,2014-08-01,30000000,33339868,multiple_genres,8,3339868
get out,en,0.834,5.5,8,2017-02-24,5000000,255367951,multiple_genres,2,250367951
getaway,en,10.793,5.1,380,2013-08-30,18000000,11813989,thriller,8,-6186011
ghost,ru,2.832,5.7,23,1990-07-13,22000000,517600000,horror,7,495600000
ghost in the shell,en,21.308,6.0,5128,2017-03-31,110000000,167910690,multiple_genres,3,57910690
ghost rider: spirit of vengeance,en,18.678,4.8,2039,2012-02-17,57000000,149217355,multiple_genres,2,92217355
ghostbusters,en,16.079,5.4,3780,1984-06-08,30000000,295212467,multiple_genres,6,265212467
gifted,en,16.745,7.9,2035,2017-04-07,7000000,36964656,documentary,4,29964656
girls gone dead,en,5.405,3.5,20,2012-07-17,500000,0,multiple_genres,7,-500000
girls trip,en,8.589,6.8,968,2017-07-21,28000000,140886353,multiple_genres,7,112886353
give me shelter,en,0.6,2.0,1,2015-02-24,250000,0,documentary,2,-250000
gloria,es,5.925,6.5,83,1999-01-22,30000000,4967493,multiple_genres,1,-25032507
go for it!,en,2.352,6.0,10,2011-05-13,2450000,182358,multiple_genres,5,-2267642
gods of egypt,en,18.517,5.4,2353,2016-02-26,140000000,138836756,multiple_genres,2,-1163244
godzilla,en,24.982,6.1,5053,2014-05-16,160000000,529076069,multiple_genres,5,369076069
going in style,en,11.25,6.6,1324,2017-04-07,24000000,78672579,multiple_genres,4,54672579
going the distance,en,8.281,6.0,394,2010-09-03,32000000,43603990,comedy,9,11603990
gone girl,en,31.215,7.9,10459,2014-10-03,61000000,368567189,multiple_genres,10,307567189
good intentions,en,1.179,5.1,7,2009-12-31,10000000,0,multiple_genres,12,-10000000
goosebumps,en,18.957,6.2,2147,2015-10-16,58000000,158905324,multiple_genres,10,100905324
goosebumps 2: haunted halloween,en,20.238,5.6,428,2018-10-12,35000000,93291478,multiple_genres,10,58291478
gotti,en,10.034,5.2,231,2018-06-15,10000000,6089100,multiple_genres,6,-3910900
grabbers,en,7.117,6.1,202,2013-07-19,5300000,440821,multiple_genres,7,-4859179
grace,en,1.547,10.0,1,2009-08-14,5000000,8297,multiple_genres,8,-4991703
grace of monaco,en,6.058,6.0,352,2015-12-01,30000000,25199891,multiple_genres,12,-4800109
grace unplugged,en,1.957,6.3,38,2013-10-04,1700000,2507159,multiple_genres,10,807159
graduation day,en,0.6,5.0,1,1981-05-01,250000,23894000,thriller,5,23644000
grave encounters,en,8.475,6.2,700,2011-09-09,2000000,2151887,horror,9,151887
gravity,en,27.836,7.2,9586,2013-10-04,110000000,693698673,multiple_genres,10,583698673
greater,en,1.891,7.3,37,2016-08-26,9000000,2000093,multiple_genres,8,-6999907
green book,en,36.284,8.3,3499,2018-11-16,23000000,322034439,multiple_genres,11,299034439
green lantern,en,17.257,5.1,4290,2011-06-17,200000000,219535492,multiple_genres,6,19535492
green room,en,9.943,6.8,1314,2016-04-15,5000000,3807503,multiple_genres,4,-1192497
green zone,en,11.519,6.4,1176,2010-03-12,100000000,97523020,multiple_genres,3,-2476980
griff the invisible,en,3.519,6.0,44,2011-08-19,2900000,25935,multiple_genres,8,-2874065
growing up smith,en,1.981,7.0,16,2017-02-03,2000000,35312,multiple_genres,2,-1964688
grown ups,en,14.291,6.1,3171,2010-06-25,75000000,272223430,comedy,6,197223430
grown ups 2,en,11.289,5.9,2090,2013-07-12,80000000,247023808,comedy,7,167023808
grudge match,en,7.918,6.0,711,2013-12-25,40000000,69807260,multiple_genres,12,29807260
guardians of the galaxy,en,49.606,7.9,17958,2014-08-01,170000000,770867516,multiple_genres,8,600867516
gulliver's travels,en,10.768,5.1,1282,2010-12-25,112000000,232017848,multiple_genres,12,120017848
gun shy,en,9.329,4.8,68,2000-02-04,10000000,1638202,multiple_genres,2,-8361798
h.,en,2.157,6.3,8,2014-12-31,200000,0,multiple_genres,12,-200000
hacksaw ridge,en,24.074,8.1,6608,2016-11-04,40000000,168904682,multiple_genres,11,128904682
"hail, caesar!",en,12.312,5.9,2328,2016-02-05,22000000,64160680,multiple_genres,2,42160680
hall pass,en,9.984,5.5,1009,2011-02-25,68000000,87173475,multiple_genres,2,19173475
halloween,en,20.839,6.4,2020,2007-08-31,15000000,77514401,multiple_genres,8,62514401
hands of stone,en,8.17,6.1,167,2016-08-26,20000000,5031975,multiple_genres,8,-14968025
hanna,en,9.709,6.6,1944,2011-04-08,30000000,65343694,multiple_genres,4,35343694
hansel & gretel: witch hunters,en,15.982,5.9,4548,2013-01-25,50000000,214949716,multiple_genres,1,164949716
happiness,en,0.6,7.0,3,1998-10-16,3000000,5746453,multiple_genres,10,2746453
happy 40th,en,0.6,6.0,2,2014-12-31,35000,0,drama,12,-35000
happy christmas,en,5.767,5.1,95,2014-07-25,70000,30312,multiple_genres,7,-39688
happy death day,en,21.23,6.6,3211,2017-10-13,5000000,125010260,multiple_genres,10,120010260
happy feet two,en,8.131,5.9,754,2011-11-18,135000000,157956466,multiple_genres,11,22956466
happy valley,en,2.309,6.7,25,2008-03-28,250000,67665,multiple_genres,3,-182335
hardcore henry,en,10.459,6.2,1294,2016-04-08,2000000,17187434,multiple_genres,4,15187434
hardflip,en,1.186,5.0,7,2012-06-01,1000000,96734,multiple_genres,6,-903266
hayride,en,2.914,4.6,10,2012-12-31,60000,0,multiple_genres,12,-60000
haywire,en,10.015,5.6,747,2012-01-20,23000000,36374700,multiple_genres,1,13374700
hearts beat loud,en,13.201,7.4,87,2018-06-08,2000000,2420962,multiple_genres,6,420962
heaven is for real,en,9.718,6.2,363,2014-04-16,12000000,100916299,multiple_genres,4,88916299
heist,en,0.6,5.0,1,2001-11-09,35000000,28906817,multiple_genres,11,-6093183
heli,es,3.01,6.4,46,2013-12-31,1000000,552614,multiple_genres,12,-447386
hell fest,en,12.955,5.5,273,2018-09-28,5500000,18119231,horror,9,12619231
hell or high water,en,15.749,7.3,2468,2016-08-12,12000000,37584304,multiple_genres,8,25584304
"hello, my name is doris",en,7.802,6.4,265,2016-03-11,1000000,14662703,multiple_genres,3,13662703
henry & me,en,0.6,4.7,3,2014-08-18,5000000,0,multiple_genres,8,-5000000
her,en,15.968,7.9,7776,2014-01-10,23000000,48163815,multiple_genres,1,25163815
her cry: la llorona investigation,en,0.6,5.0,2,2013-10-25,35000,0,horror,10,-35000
hercules,en,23.922,5.6,2606,1997-06-13,70000000,250700000,multiple_genres,6,180700000
here comes the boom,en,10.265,6.0,812,2012-10-12,42000000,73239258,multiple_genres,10,31239258
hereafter,en,7.886,5.9,848,2010-10-15,50000000,108660270,multiple_genres,10,58660270
hereditary,en,26.185,7.0,2491,2018-06-08,10000000,70133905,multiple_genres,6,60133905
hero,hi,1.4,6.7,12,1992-10-02,42000000,66787173,multiple_genres,10,24787173
hesher,en,7.14,7.0,335,2011-05-13,7000000,382946,multiple_genres,5,-6617054
hidden away,es,2.222,7.8,46,2014-01-07,1000000,0,multiple_genres,1,-1000000
hidden figures,en,14.751,8.0,4710,2016-12-25,25000000,231771716,multiple_genres,12,206771716
hide and seek,en,2.228,4.8,15,2005-01-28,25000000,123696741,multiple_genres,1,98696741
high road,en,3.38,5.6,38,2012-03-06,546173,0,comedy,3,-546173
high school,en,5.762,5.8,68,2012-06-01,10000000,248133,comedy,6,-9751867
higher ground,en,4.545,5.9,21,2011-08-23,1800000,842693,drama,8,-957307
higher power,en,7.544,4.9,43,2018-05-11,500000,528,multiple_genres,5,-499472
highway,en,2.409,2.7,3,2012-12-31,2000000,0,drama,12,-2000000
hit & run,en,7.48,5.7,312,2012-08-22,22000000,17216955,multiple_genres,8,-4783045
hitman: agent 47,en,14.082,5.6,1764,2015-08-21,35000000,82182803,multiple_genres,8,47182803
hits,en,5.512,5.0,36,2015-02-13,1000000,15156,multiple_genres,2,-984844
hobo with a shotgun,en,8.844,5.9,300,2011-05-06,3000000,834953,multiple_genres,5,-2165047
holmes & watson,en,19.331,4.1,217,2018-12-25,42000000,41926605,multiple_genres,12,-73395
holy motors,fr,5.31,7.0,431,2012-10-17,4000000,4230426,multiple_genres,10,230426
home,en,0.6,4.0,1,2015-03-27,130000000,385997896,multiple_genres,3,255997896
home again,en,10.478,5.9,659,2017-09-08,15000000,37336874,drama,9,22336874
home movies,en,0.6,5.8,6,1980-05-16,400000,89134,documentary,5,-310866
home run,en,3.843,6.3,33,2013-04-19,1200000,2859955,multiple_genres,4,1659955
homefront,en,14.422,6.5,1410,2013-11-27,22000000,51695362,multiple_genres,11,29695362
honey,en,2.288,7.1,39,2003-12-05,18000000,62646763,drama,12,44646763
hop,en,14.738,5.6,611,2011-04-01,63000000,188657593,multiple_genres,4,125657593
hope springs,en,8.313,6.1,429,2012-08-08,30000000,133085295,multiple_genres,8,103085295
horrible bosses,en,14.058,6.5,3842,2011-07-08,35000000,212417601,multiple_genres,7,177417601
horrible bosses 2,en,18.421,6.2,2581,2014-11-26,40000000,105945357,multiple_genres,11,65945357
horse camp,en,0.6,5.5,2,2014-12-31,250000,0,family,12,-250000
hostage,en,0.687,3.8,3,2005-03-11,75000000,77636443,thriller,3,2636443
